96	64
192	64
288	64
352	64
416	96
512	96
576	96
672	96
800	64
896	96
960	96
96	160
192	192
288	160
384	192
512	192
576	192
768	192
832	192
960	192
96	288
192	256
288	256
384	256
480	256
576	256
672	256
768	256
832	256
960	288
160	352
96	416
192	416
288	384
384	384
480	352
608	352
672	352
768	352
832	352
960	384
608	416
672	416
768	416
832	416
64	480
96	544
192	480
160	544
288	480
288	544
352	480
352	544
480	480
480	544
576	544
672	544
768	544
864	544
960	544
960	480
1130 137
1130 169
1130 201
